TREX,38.7999992371,37.6450004578
HBMD,14.6800003052,14.2100000381
ABR,12.6000003815,12.8000001907
ALLE,87.7200012207,87.4700012207
CMTL,26.9899997711,26.8299999237
SUN,30.25,29.0900001526
ATNI,77.1500015259,67.6900024414
DAKT,7.9000000954,8.1700000763
MCRI,43.0400009155,45.0900001526
EXR,99.0400009155,94.0800018311
GSS,3.9500000477,3.9300000668
NM,2.0899999142,1.9099999666
UAN,37.4000015259,39.0999984741
ESRT,15.529999733,15.5
IVR,15.9499998093,15.9399995804
AMSWA,11.5100002289,11.779999733
HBM,6.4899997711,6.4800000191
SUI,114.6500015259,109.5500030518
BX,33.5400009155,34.2200012207
CSV,19.6599998474,19.7399997711
AXTI,4.3800001144,4.25
WBA,72.9800033569,71.6200027466
HUBS,165.5700073242,164.1399993896
TRGP,46.2799987793,44.5600013733
NHI,79.5699996948,78.0800018311
FTI,17.8497028351,17.1056556702
CONE,57.5600013733,53.9500007629
FCX,13.6400003433,13.1899995804
RWLK,7.875,6.0500001907
NDSN,139.9299926758,135.0
O,67.6259689331,65.8720932007
CPRT,53.4399986267,53.8899993896
OGS,84.0,81.2699966431
KALU,107.3899993896,114.9899978638
SM,18.9699993134,18.5699996948
TYL,215.3999938965,208.8699951172
TS,27.1200008392,26.8299999237
CHE,313.9200134277,317.9899902344
NTES,46.3740005493,45.8600006104
UFPI,32.7700004578,32.3499984741
GEL,22.4799995422,21.75
VIPS,7.0300002098,6.4099998474
IIN,26.3999996185,25.9599990845
UBS,12.4899997711,12.2899999619
ATVI,44.6699981689,42.7000007629
XNCR,33.9900016785,33.5
TEVA,17.8999996185,17.4099998474
GCI,13.6999998093,13.8000001907
HMY,2.1700000763,2.1199998856
WWW,35.8300018311,35.3499984741
