BG,56.2999992371,55.5
CSTE,16.3899993896,16.4300003052
RGR,40.9099998474,41.6100006104
MET,45.5299987793,44.2299995422
BLL,71.5,70.8799972534
KMX,88.2300033569,84.9100036621
WBS,44.6599998474,43.8400001526
EC,16.6700000763,16.4500007629
SCHN,20.2399997711,19.5699996948
E,29.9300003052,29.3700008392
NRZ,14.9300003052,14.6999998093
CELP,9.3000001907,8.8000001907
CAG,29.4500007629,28.2999992371
CVE,9.0900001526,8.6499996185
ALB,67.3799972534,66.0500030518
CEO,149.6999969482,148.0500030518
PTC,65.0899963379,64.25
CLR,29.8899993896,28.9200000763
COP,54.7900009155,52.7900009155
MGA,51.1300010681,50.4300003052
DD,66.6600036621,67.3899993896
VNOM,27.0100002289,26.2099990845
ZEUS,13.9200000763,13.9099998474
PAA,20.4300003052,20.0
PKX,45.3199996948,45.2000007629
TRV,144.8300018311,142.1199951172
BTI,35.9799995422,34.5699996948
MT,13.3199996948,12.9399995804
CCK,63.9099998474,61.6199989319
KOS,6.0,5.6100001335
SBNY,115.4599990845,115.9100036621
OKE,72.3600006104,71.1800003052
ENLC,8.0500001907,7.6999998093
SU,30.4200000763,29.8199996948
VLO,84.4000015259,82.2900009155
TEN,12.3999996185,11.8599996567
PBR,14.2100000381,13.9499998093
TRNX,1.8400000334,1.75
DPZ,244.0,240.1600036621
STLD,28.7399997711,27.9500007629
PBA,36.3300018311,35.4900016785
FTI,17.2991065979,16.9717254639
KO,54.2099990845,53.5
ENB,34.9700012207,34.1100006104
TRP,51.2700004578,50.7200012207
URI,117.3000030518,115.1800003052
DOW,44.6699981689,44.8499984741
EMN,70.6200027466,69.8600006104
JBLU,16.4500007629,16.1100006104
ALK,64.1299972534,62.6899986267
